,X,Participant,gender,lamount,ldealy,samount,sdelay,choices1,choice2,RT_first,pick_larger_position,block_order,RT_second,adjusting.order,condition,group,switch,mark1
796,4296,1003,1,30,101,15,0,0,1,2.000335932,NA,2,NA,1,dgs,1,0,0
795,4295,1003,1,30,101,18,0,0,1,2.094100952,NA,2,NA,1,dgs,1,0,0
794,4294,1003,1,30,101,21,0,0,1,2.000335932,NA,2,NA,1,dgs,1,0,0
793,4293,1003,1,30,101,24,0,0,1,2.219120979,NA,2,NA,1,dgs,1,0,0
792,4292,1003,1,30,101,27,0,0,1,2.453533173,NA,2,NA,1,dgs,1,0,0
791,4291,1003,1,30,101,30,0,0,1,2.375396013,NA,2,NA,1,dgs,1,0,0
830,4330,1004,1,60,7,6,0,1,0,2.540343046,NA,2,NA,1,dgl,2,0,0
829,4329,1004,1,60,7,12,0,1,0,1.630835056,NA,2,NA,1,dgl,2,1,0
828,4328,1004,1,60,7,18,0,0,1,1.536748886,NA,2,NA,1,dgl,2,1,0
827,4327,1004,1,60,7,24,0,1,0,3.779149055,NA,2,NA,1,dgl,2,1,0
826,4326,1004,1,60,7,30,0,1,0,2.305123091,NA,2,NA,1,dgl,2,0,0
825,4325,1004,1,60,7,36,0,1,0,2.132632017,NA,2,NA,1,dgl,2,0,0
824,4324,1004,1,60,7,42,0,1,0,1.850371122,NA,2,NA,1,dgl,2,0,0
823,4323,1004,1,60,7,48,0,1,0,2.995092869,NA,2,NA,1,dgl,2,0,0
822,4322,1004,1,60,7,54,0,1,0,3.183264971,NA,2,NA,1,dgl,2,1,0
821,4321,1004,1,60,7,60,0,0,1,4.327986956,NA,2,NA,1,dgl,2,1,0
810,4310,1004,1,60,15,6,0,1,0,2.979412079,NA,2,NA,1,dgl,2,0,0
809,4309,1004,1,60,15,12,0,1,0,4.077090025,NA,2,NA,1,dgl,2,0,0
808,4308,1004,1,60,15,18,0,1,0,2.571702003,NA,2,NA,1,dgl,2,0,0
807,4307,1004,1,60,15,24,0,1,0,4.139816999,NA,2,NA,1,dgl,2,0,0
806,4306,1004,1,60,15,30,0,1,0,14.95978308,NA,2,NA,1,dgl,2,0,0
805,4305,1004,1,60,15,36,0,1,0,2.963729143,NA,2,NA,1,dgl,2,1,0
804,4304,1004,1,60,15,42,0,0,1,2.930240154,NA,2,NA,1,dgl,2,1,0
803,4303,1004,1,60,15,48,0,1,0,7.328839064,NA,2,NA,1,dgl,2,1,0
802,4302,1004,1,60,15,54,0,0,1,6.719403028,NA,2,NA,1,dgl,2,1,0
801,4301,1004,1,60,15,60,0,1,0,16.79850698,NA,2,NA,1,dgl,2,1,0
820,4320,1004,1,60,29,6,0,0,1,2.367847919,NA,2,NA,1,dgl,2,1,0
819,4319,1004,1,60,29,12,0,1,0,2.336487055,NA,2,NA,1,dgl,2,1,0
818,4318,1004,1,60,29,18,0,0,1,2.038544178,NA,2,NA,1,dgl,2,1,0
817,4317,1004,1,60,29,24,0,1,0,2.336483955,NA,2,NA,1,dgl,2,1,0
816,4316,1004,1,60,29,30,0,0,1,2.744194984,NA,2,NA,1,dgl,2,1,0
815,4315,1004,1,60,29,36,0,0,1,4.296625853,NA,2,NA,1,dgl,2,1,0
814,4314,1004,1,60,29,42,0,1,0,4.061410189,NA,2,NA,1,dgl,2,1,0
813,4313,1004,1,60,29,48,0,0,1,3.81051302,NA,2,NA,1,dgl,2,1,0
812,4312,1004,1,60,29,54,0,0,1,4.359351158,NA,2,NA,1,dgl,2,0,0
811,4311,1004,1,60,29,60,0,0,1,9.847738981,NA,2,NA,1,dgl,2,0,0
840,4340,1004,1,60,56,6,0,0,1,2.461935997,NA,2,NA,1,dgl,2,1,1
839,4339,1004,1,60,56,12,0,0,1,2.477616072,NA,2,NA,1,dgl,2,0,1
838,4338,1004,1,60,56,18,0,0,1,2.022864103,NA,2,NA,1,dgl,2,0,1
837,4337,1004,1,60,56,24,0,0,1,2.383530855,NA,2,NA,1,dgl,2,0,1
836,4336,1004,1,60,56,30,0,0,1,2.007180929,NA,2,NA,1,dgl,2,0,1
835,4335,1004,1,60,56,36,0,0,1,2.038544893,NA,2,NA,1,dgl,2,0,1
834,4334,1004,1,60,56,42,0,0,1,2.82260108,NA,2,NA,1,dgl,2,0,1
833,4333,1004,1,60,56,48,0,0,1,3.857555151,NA,2,NA,1,dgl,2,0,1
832,4332,1004,1,60,56,54,0,0,1,2.932363987,NA,2,NA,1,dgl,2,0,1
831,4331,1004,1,60,56,60,0,0,1,3.967320919,NA,2,NA,1,dgl,2,0,1
850,4350,1004,1,60,101,6,0,1,0,2.524658918,NA,2,NA,1,dgl,2,1,0
849,4349,1004,1,60,101,12,0,0,1,1.96013999,NA,2,NA,1,dgl,2,1,0
848,4348,1004,1,60,101,18,0,0,1,4.092772007,NA,2,NA,1,dgl,2,0,0
847,4347,1004,1,60,101,24,0,0,1,1.850372076,NA,2,NA,1,dgl,2,0,0
846,4346,1004,1,60,101,30,0,0,1,1.850374222,NA,2,NA,1,dgl,2,0,0
845,4345,1004,1,60,101,36,0,0,1,1.991504908,NA,2,NA,1,dgl,2,0,0
844,4344,1004,1,60,101,42,0,0,1,1.850368977,NA,2,NA,1,dgl,2,0,0
843,4343,1004,1,60,101,48,0,0,1,2.650108099,NA,2,NA,1,dgl,2,0,0
842,4342,1004,1,60,101,54,0,0,1,4.578886032,NA,2,NA,1,dgl,2,0,0
841,4341,1004,1,60,101,60,0,0,1,4.53184104,NA,2,NA,1,dgl,2,0,0
3591,15791,1005,0,30,7,3,0,1,0,5.119997978,NA,3,NA,0,dgs,1,0,0
3592,15792,1005,0,30,7,6,0,1,0,2.638526917,NA,3,NA,0,dgs,1,0,0
3593,15793,1005,0,30,7,9,0,1,0,4.444660902,NA,3,NA,0,dgs,1,0,0
3594,15794,1005,0,30,7,12,0,1,0,3.046870947,NA,3,NA,0,dgs,1,0,0
3595,15795,1005,0,30,7,15,0,1,0,1.42920208,NA,3,NA,0,dgs,1,0,0
