Participant	block_order	trial	A	B	DA	DB	R	index	ID	PA	PB
3073	3	17	-21	-30	0	56	0	2	29	1	1
3073	3	18	-24	-30	0	56	0	2	29	1	1
3073	3	19	-27	-30	0	56	0	2	29	1	1
3073	3	20	-30	-30	0	56	1	2	29	1	1
3073	3	21	-3	-30	0	15	0	3	29	1	1
3073	3	22	-6	-30	0	15	0	3	29	1	1
3073	3	23	-9	-30	0	15	0	3	29	1	1
3073	3	24	-12	-30	0	15	0	3	29	1	1
3073	3	25	-15	-30	0	15	0	3	29	1	1
3073	3	26	-18	-30	0	15	0	3	29	1	1
3073	3	27	-21	-30	0	15	0	3	29	1	1
3073	3	28	-24	-30	0	15	0	3	29	1	1
3073	3	29	-27	-30	0	15	0	3	29	1	1
3073	3	30	-30	-30	0	15	1	3	29	1	1
3073	3	31	-3	-30	0	101	0	4	29	1	1
3073	3	32	-6	-30	0	101	0	4	29	1	1
3073	3	33	-9	-30	0	101	0	4	29	1	1
3073	3	34	-12	-30	0	101	0	4	29	1	1
3073	3	35	-15	-30	0	101	0	4	29	1	1
3073	3	36	-18	-30	0	101	0	4	29	1	1
3073	3	37	-21	-30	0	101	0	4	29	1	1
3073	3	38	-24	-30	0	101	0	4	29	1	1
3073	3	39	-27	-30	0	101	0	4	29	1	1
3073	3	40	-30	-30	0	101	1	4	29	1	1
3073	3	41	-3	-30	0	7	0	5	29	1	1
3073	3	42	-6	-30	0	7	0	5	29	1	1
3073	3	43	-9	-30	0	7	0	5	29	1	1
3073	3	44	-12	-30	0	7	0	5	29	1	1
3073	3	45	-15	-30	0	7	0	5	29	1	1
3073	3	46	-18	-30	0	7	0	5	29	1	1
3073	3	47	-21	-30	0	7	0	5	29	1	1
3073	3	48	-24	-30	0	7	0	5	29	1	1
3073	3	49	-27	-30	0	7	0	5	29	1	1
3073	3	50	-30	-30	0	7	1	5	29	1	1
3075	4	1	-3	-30	0	56	0	1	30	1	1
3075	4	2	-6	-30	0	56	1	1	30	1	1
3075	4	3	-9	-30	0	56	0	1	30	1	1
3075	4	4	-12	-30	0	56	1	1	30	1	1
3075	4	5	-15	-30	0	56	0	1	30	1	1
3075	4	6	-18	-30	0	56	1	1	30	1	1
3075	4	7	-21	-30	0	56	0	1	30	1	1
3075	4	8	-24	-30	0	56	0	1	30	1	1
3075	4	9	-27	-30	0	56	1	1	30	1	1
3075	4	10	-30	-30	0	56	1	1	30	1	1
3075	4	11	-3	-30	0	101	0	2	30	1	1
3075	4	12	-6	-30	0	101	0	2	30	1	1
3075	4	13	-9	-30	0	101	0	2	30	1	1
3075	4	14	-12	-30	0	101	0	2	30	1	1
3075	4	15	-15	-30	0	101	0	2	30	1	1
3075	4	16	-18	-30	0	101	0	2	30	1	1
3075	4	17	-21	-30	0	101	0	2	30	1	1
3075	4	18	-24	-30	0	101	1	2	30	1	1
3075	4	19	-27	-30	0	101	1	2	30	1	1
3075	4	20	-30	-30	0	101	1	2	30	1	1
3075	4	21	-3	-30	0	29	0	3	30	1	1
3075	4	22	-6	-30	0	29	0	3	30	1	1
3075	4	23	-9	-30	0	29	0	3	30	1	1
3075	4	24	-12	-30	0	29	0	3	30	1	1
3075	4	25	-15	-30	0	29	0	3	30	1	1
3075	4	26	-18	-30	0	29	0	3	30	1	1
3075	4	27	-21	-30	0	29	0	3	30	1	1
3075	4	28	-24	-30	0	29	0	3	30	1	1
3075	4	29	-27	-30	0	29	0	3	30	1	1
3075	4	30	-30	-30	0	29	1	3	30	1	1
3075	4	31	-3	-30	0	7	0	4	30	1	1
3075	4	32	-6	-30	0	7	0	4	30	1	1
3075	4	33	-9	-30	0	7	0	4	30	1	1
3075	4	34	-12	-30	0	7	0	4	30	1	1
3075	4	35	-15	-30	0	7	0	4	30	1	1
3075	4	36	-18	-30	0	7	0	4	30	1	1
3075	4	37	-21	-30	0	7	0	4	30	1	1
3075	4	38	-24	-30	0	7	0	4	30	1	1
3075	4	39	-27	-30	0	7	0	4	30	1	1
3075	4	40	-30	-30	0	7	1	4	30	1	1
3075	4	41	-3	-30	0	15	1	5	30	1	1
3075	4	42	-6	-30	0	15	0	5	30	1	1
3075	4	43	-9	-30	0	15	0	5	30	1	1
3075	4	44	-12	-30	0	15	0	5	30	1	1
3075	4	45	-15	-30	0	15	0	5	30	1	1
3075	4	46	-18	-30	0	15	0	5	30	1	1
3075	4	47	-21	-30	0	15	0	5	30	1	1
3075	4	48	-24	-30	0	15	0	5	30	1	1
3075	4	49	-27	-30	0	15	0	5	30	1	1
3075	4	50	-30	-30	0	15	1	5	30	1	1
3081	5	1	-3	-30	0	101	0	1	31	1	1
3081	5	2	-6	-30	0	101	0	1	31	1	1
3081	5	3	-9	-30	0	101	0	1	31	1	1
3081	5	4	-12	-30	0	101	1	1	31	1	1
3081	5	5	-15	-30	0	101	0	1	31	1	1
3081	5	6	-18	-30	0	101	0	1	31	1	1
3081	5	7	-21	-30	0	101	1	1	31	1	1
3081	5	8	-24	-30	0	101	1	1	31	1	1
3081	5	9	-27	-30	0	101	1	1	31	1	1
3081	5	10	-30	-30	0	101	1	1	31	1	1
3081	5	11	-3	-30	0	7	0	2	31	1	1
3081	5	12	-6	-30	0	7	0	2	31	1	1
3081	5	13	-9	-30	0	7	0	2	31	1	1
3081	5	14	-12	-30	0	7	0	2	31	1	1
3081	5	15	-15	-30	0	7	0	2	31	1	1
3081	5	16	-18	-30	0	7	0	2	31	1	1
3081	5	17	-21	-30	0	7	0	2	31	1	1
3081	5	18	-24	-30	0	7	0	2	31	1	1
3081	5	19	-27	-30	0	7	0	2	31	1	1
3081	5	20	-30	-30	0	7	1	2	31	1	1
3081	5	21	-3	-30	0	56	0	3	31	1	1
3081	5	22	-6	-30	0	56	0	3	31	1	1
3081	5	23	-9	-30	0	56	0	3	31	1	1
3081	5	24	-12	-30	0	56	0	3	31	1	1
3081	5	25	-15	-30	0	56	0	3	31	1	1
3081	5	26	-18	-30	0	56	1	3	31	1	1
3081	5	27	-21	-30	0	56	1	3	31	1	1
3081	5	28	-24	-30	0	56	1	3	31	1	1
3081	5	29	-27	-30	0	56	1	3	31	1	1
3081	5	30	-30	-30	0	56	1	3	31	1	1
3081	5	31	-3	-30	0	15	0	4	31	1	1
3081	5	32	-6	-30	0	15	0	4	31	1	1
3081	5	33	-9	-30	0	15	0	4	31	1	1
3081	5	34	-12	-30	0	15	0	4	31	1	1
3081	5	35	-15	-30	0	15	0	4	31	1	1
3081	5	36	-18	-30	0	15	0	4	31	1	1
3081	5	37	-21	-30	0	15	0	4	31	1	1
3081	5	38	-24	-30	0	15	0	4	31	1	1
3081	5	39	-27	-30	0	15	1	4	31	1	1
3081	5	40	-30	-30	0	15	1	4	31	1	1
3081	5	41	-3	-30	0	29	0	5	31	1	1
3081	5	42	-6	-30	0	29	0	5	31	1	1
3081	5	43	-9	-30	0	29	0	5	31	1	1
3081	5	44	-12	-30	0	29	0	5	31	1	1
3081	5	45	-15	-30	0	29	0	5	31	1	1
3081	5	46	-18	-30	0	29	0	5	31	1	1
3081	5	47	-21	-30	0	29	0	5	31	1	1
3081	5	48	-24	-30	0	29	0	5	31	1	1
3081	5	49	-27	-30	0	29	1	5	31	1	1
3081	5	50	-30	-30	0	29	1	5	31	1	1
3082	6	1	-3	-30	0	56	1	1	32	1	1
3082	6	2	-6	-30	0	56	0	1	32	1	1
3082	6	3	-9	-30	0	56	1	1	32	1	1
3082	6	4	-12	-30	0	56	0	1	32	1	1
3082	6	5	-15	-30	0	56	1	1	32	1	1
3082	6	6	-18	-30	0	56	0	1	32	1	1
3082	6	7	-21	-30	0	56	1	1	32	1	1
3082	6	8	-24	-30	0	56	1	1	32	1	1
3082	6	9	-27	-30	0	56	0	1	32	1	1
3082	6	10	-30	-30	0	56	1	1	32	1	1
3082	6	11	-3	-30	0	29	0	2	32	1	1
3082	6	12	-6	-30	0	29	0	2	32	1	1
3082	6	13	-9	-30	0	29	0	2	32	1	1
3082	6	14	-12	-30	0	29	0	2	32	1	1
3082	6	15	-15	-30	0	29	1	2	32	1	1
3082	6	16	-18	-30	0	29	0	2	32	1	1
3082	6	17	-21	-30	0	29	1	2	32	1	1
3082	6	18	-24	-30	0	29	1	2	32	1	1
3082	6	19	-27	-30	0	29	1	2	32	1	1
3082	6	20	-30	-30	0	29	1	2	32	1	1
3082	6	21	-3	-30	0	101	0	3	32	1	1
3082	6	22	-6	-30	0	101	0	3	32	1	1
3082	6	23	-9	-30	0	101	0	3	32	1	1
3082	6	24	-12	-30	0	101	0	3	32	1	1
3082	6	25	-15	-30	0	101	0	3	32	1	1
3082	6	26	-18	-30	0	101	1	3	32	1	1
3082	6	27	-21	-30	0	101	1	3	32	1	1
3082	6	28	-24	-30	0	101	0	3	32	1	1
3082	6	29	-27	-30	0	101	1	3	32	1	1
3082	6	30	-30	-30	0	101	1	3	32	1	1
3082	6	31	-3	-30	0	15	0	4	32	1	1
3082	6	32	-6	-30	0	15	0	4	32	1	1
3082	6	33	-9	-30	0	15	0	4	32	1	1
3082	6	34	-12	-30	0	15	0	4	32	1	1
3082	6	35	-15	-30	0	15	0	4	32	1	1
3082	6	36	-18	-30	0	15	0	4	32	1	1
3082	6	37	-21	-30	0	15	0	4	32	1	1
3082	6	38	-24	-30	0	15	0	4	32	1	1
3082	6	39	-27	-30	0	15	0	4	32	1	1
3082	6	40	-30	-30	0	15	1	4	32	1	1
3082	6	41	-3	-30	0	7	0	5	32	1	1
3082	6	42	-6	-30	0	7	0	5	32	1	1
3082	6	43	-9	-30	0	7	0	5	32	1	1
3082	6	44	-12	-30	0	7	0	5	32	1	1
3082	6	45	-15	-30	0	7	0	5	32	1	1
3082	6	46	-18	-30	0	7	0	5	32	1	1
3082	6	47	-21	-30	0	7	0	5	32	1	1
3082	6	48	-24	-30	0	7	0	5	32	1	1
3082	6	49	-27	-30	0	7	0	5	32	1	1
3082	6	50	-30	-30	0	7	1	5	32	1	1
3085	7	1	-30	-30	0	101	0	1	33	1	1
3085	7	2	-27	-30	0	101	1	1	33	1	1
3085	7	3	-24	-30	0	101	0	1	33	1	1
3085	7	4	-21	-30	0	101	0	1	33	1	1
3085	7	5	-18	-30	0	101	0	1	33	1	1
3085	7	6	-15	-30	0	101	1	1	33	1	1
3085	7	7	-12	-30	0	101	0	1	33	1	1
3085	7	8	-9	-30	0	101	0	1	33	1	1
3085	7	9	-6	-30	0	101	0	1	33	1	1
3085	7	10	-3	-30	0	101	0	1	33	1	1
3085	7	11	-30	-30	0	56	1	2	33	1	1
3085	7	12	-27	-30	0	56	0	2	33	1	1
3085	7	13	-24	-30	0	56	0	2	33	1	1
3085	7	14	-21	-30	0	56	0	2	33	1	1
3085	7	15	-18	-30	0	56	0	2	33	1	1
3085	7	16	-15	-30	0	56	0	2	33	1	1
3085	7	17	-12	-30	0	56	0	2	33	1	1
3085	7	18	-9	-30	0	56	0	2	33	1	1
3085	7	19	-6	-30	0	56	0	2	33	1	1
3085	7	20	-3	-30	0	56	0	2	33	1	1
3085	7	21	-30	-30	0	7	1	3	33	1	1
3085	7	22	-27	-30	0	7	1	3	33	1	1
3085	7	23	-24	-30	0	7	0	3	33	1	1
3085	7	24	-21	-30	0	7	0	3	33	1	1
3085	7	25	-18	-30	0	7	0	3	33	1	1
3085	7	26	-15	-30	0	7	0	3	33	1	1
3085	7	27	-12	-30	0	7	0	3	33	1	1
3085	7	28	-9	-30	0	7	0	3	33	1	1
3085	7	29	-6	-30	0	7	0	3	33	1	1
3085	7	30	-3	-30	0	7	1	3	33	1	1
3085	7	31	-30	-30	0	29	0	4	33	1	1
3085	7	32	-27	-30	0	29	0	4	33	1	1
3085	7	33	-24	-30	0	29	0	4	33	1	1
3085	7	34	-21	-30	0	29	0	4	33	1	1
3085	7	35	-18	-30	0	29	0	4	33	1	1
3085	7	36	-15	-30	0	29	0	4	33	1	1
3085	7	37	-12	-30	0	29	0	4	33	1	1
3085	7	38	-9	-30	0	29	0	4	33	1	1
3085	7	39	-6	-30	0	29	0	4	33	1	1
3085	7	40	-3	-30	0	29	0	4	33	1	1
3085	7	41	-30	-30	0	15	1	5	33	1	1
3085	7	42	-27	-30	0	15	0	5	33	1	1
3085	7	43	-24	-30	0	15	0	5	33	1	1
3085	7	44	-21	-30	0	15	0	5	33	1	1
3085	7	45	-18	-30	0	15	0	5	33	1	1
3085	7	46	-15	-30	0	15	0	5	33	1	1
3085	7	47	-12	-30	0	15	0	5	33	1	1
3085	7	48	-9	-30	0	15	0	5	33	1	1
3085	7	49	-6	-30	0	15	0	5	33	1	1
3085	7	50	-3	-30	0	15	0	5	33	1	1
3087	8	1	-30	-30	0	7	1	1	34	1	1
3087	8	2	-27	-30	0	7	1	1	34	1	1
3087	8	3	-24	-30	0	7	0	1	34	1	1
3087	8	4	-21	-30	0	7	0	1	34	1	1
3087	8	5	-18	-30	0	7	0	1	34	1	1
3087	8	6	-15	-30	0	7	0	1	34	1	1
3087	8	7	-12	-30	0	7	0	1	34	1	1
3087	8	8	-9	-30	0	7	0	1	34	1	1
3087	8	9	-6	-30	0	7	0	1	34	1	1
3087	8	10	-3	-30	0	7	0	1	34	1	1
3087	8	11	-30	-30	0	101	1	2	34	1	1
3087	8	12	-27	-30	0	101	1	2	34	1	1
3087	8	13	-24	-30	0	101	1	2	34	1	1
3087	8	14	-21	-30	0	101	1	2	34	1	1
3087	8	15	-18	-30	0	101	0	2	34	1	1
3087	8	16	-15	-30	0	101	0	2	34	1	1
3087	8	17	-12	-30	0	101	0	2	34	1	1
3087	8	18	-9	-30	0	101	0	2	34	1	1
3087	8	19	-6	-30	0	101	0	2	34	1	1
3087	8	20	-3	-30	0	101	0	2	34	1	1
3087	8	21	-30	-30	0	15	1	3	34	1	1
3087	8	22	-27	-30	0	15	1	3	34	1	1
3087	8	23	-24	-30	0	15	0	3	34	1	1
3087	8	24	-21	-30	0	15	0	3	34	1	1
3087	8	25	-18	-30	0	15	0	3	34	1	1
3087	8	26	-15	-30	0	15	0	3	34	1	1
3087	8	27	-12	-30	0	15	0	3	34	1	1
3087	8	28	-9	-30	0	15	0	3	34	1	1
3087	8	29	-6	-30	0	15	0	3	34	1	1
3087	8	30	-3	-30	0	15	0	3	34	1	1
3087	8	31	-30	-30	0	56	1	4	34	1	1
3087	8	32	-27	-30	0	56	1	4	34	1	1
3087	8	33	-24	-30	0	56	1	4	34	1	1
3087	8	34	-21	-30	0	56	1	4	34	1	1
3087	8	35	-18	-30	0	56	0	4	34	1	1
3087	8	36	-15	-30	0	56	0	4	34	1	1
3087	8	37	-12	-30	0	56	0	4	34	1	1
3087	8	38	-9	-30	0	56	0	4	34	1	1
3087	8	39	-6	-30	0	56	0	4	34	1	1
