,logk,logs,logk_est,logk_est_L,logk_est_U,logs_est,logs_est_L,logs_est_U
42,-2.79807614045124,0.8844046698046079,-2.7426803363863472,-2.8384597110439596,-2.663033715898801,0.9005670898879291,0.6710373911746454,1.122770981149363
43,-3.126409326597196,0.22813945360260712,-3.2085411808270603,-3.3445907504573316,-3.0729540880981108,0.2588063853327758,0.07674995254372449,0.44654682213732366
44,-2.679486651136478,0.07847251163114988,-2.8396094930030698,-2.9903068374706567,-2.703453847078381,0.18782255151050953,0.011041899396257644,0.36245845806447574
45,-3.5788284006935798,1.078362794331388,-3.6123094895164867,-3.6935532919408565,-3.526861158923545,1.003837842821348,0.8275296773108071,1.2109654516402182
46,-4.1621224133171175,-0.10603562566562674,-4.1114643748778725,-4.269478260267107,-3.9547306083201406,-0.001951259212747086,-0.21399135389908677,0.18113254773565587
47,-4.787342236560075,0.11681003749755836,-4.828973316312585,-5.083034339625704,-4.591517773422358,0.23549740246491868,-0.08270925970211931,0.5550828815590589
48,-2.818782964488803,-0.17283670013464447,-2.7647682580941053,-2.9255652008426787,-2.5882497392230324,-0.13009853922827766,-0.34270423017086316,0.08279868980576917
49,-2.4431579984087084,0.1099545771717153,-2.485018808660958,-2.6515604278236617,-2.330437246672426,0.17226032731914082,-0.03343977913802989,0.3782097237844797
50,-2.042812754462868,0.9266189003981326,-2.012229926528173,-2.1222592821300394,-1.906329547459868,0.8862810474364969,0.5715022220076613,1.2035872029055128
51,-4.719004460221918,0.7318017264279043,-4.749803672523196,-4.924775956011017,-4.589940174286209,0.7928786310461223,0.40070086941947064,1.227456603027556
52,-4.860210774607612,-0.03230039216473746,-4.830338282516387,-5.146168484452981,-4.569038646366497,-0.03368026944703304,-0.3004679652602559,0.23934248259032093
53,-4.862896973880271,0.5891560998404491,-4.997442715481449,-5.420131734996227,-4.7242216623703515,0.4182400218090544,-0.03262298722898458,0.9358370557500456
54,-3.917583541399809,-0.2947115487543998,-3.878328117515696,-4.0585200970590165,-3.6749549695910746,-0.24542758037175735,-0.45595912286536633,0.01422542489662922
55,-2.0433227459972394,-0.49114470341775407,-2.0066134905174957,-2.325581039678979,-1.6772038693722013,-0.40317338971863464,-0.6768552724947074,-0.14021072487715985
56,-3.345536760389173,0.4274587066050294,-3.270148399998583,-3.3718340918060026,-3.1649203498348464,0.6425265397047336,0.44625295459030656,0.8860425312251556
57,-3.3393169583857087,0.5344521188278474,-3.311229902036222,-3.4185216563990837,-3.2011981707184645,0.38114821238107377,0.20100139465851719,0.5415426996482245
58,-4.698275274326167,-0.632849275161135,-4.332866280023054,-4.623784979697727,-4.05244660018786,-0.37487172199820484,-0.6406528982411739,-0.10750764634289818
59,-2.23724760683971,-0.3829571650747735,-2.2932685256816705,-2.5703091645246774,-1.9777731668760477,-0.41552609298257137,-0.6718605296721943,-0.16817326244174302
60,-4.597312459021161,-0.5365883624751586,-4.73239682016512,-5.177810261134544,-4.3441925178630605,-0.6129230760931691,-0.9112159494788754,-0.3260705187290123
61,-1.6870493618100468,-0.29875717955048536,-1.7720419731533252,-2.069359692822781,-1.3852350524573291,-0.227210082657988,-0.4746314630909722,0.03184727526046778
62,-4.36501679826095,0.4174659606247685,-4.4623187773217285,-4.636818475843384,-4.300033830203002,0.22713380673871253,-0.019441345137773697,0.43326967129001626
63,-4.38265165319011,-0.4892022822160732,-4.3368248240268406,-4.643725214679469,-4.057325370054575,-0.3786121599865353,-0.6501868551932718,-0.10936127057878729
64,-2.879316482239329,-0.08190778918894837,-3.0127116547742,-3.1495521469366263,-2.8632549566379515,0.0017263323546863763,-0.17610296069057668,0.1942337836926553
65,-2.662889296909302,0.7714411571131491,-2.636417581683075,-2.725439926547272,-2.5406588207977046,0.8850943569022447,0.6698562806533195,1.1175708962937534
66,-2.425308449992314,0.5115007147352918,-2.316306445723055,-2.45163840718618,-2.1917540045347916,0.48766580951963706,0.25918214984560867,0.7270392294967294
67,-2.288639519139437,0.3510576668160764,-2.3184854298937796,-2.4513580766084044,-2.1906675585194324,0.48934480945784786,0.2512264857913357,0.7117340525452125
68,-3.224954586930958,0.284102864586785,-3.2086856238801826,-3.3346716924555855,-3.0678326807217453,0.2598348106912112,0.08384039281610903,0.44701443971321597
69,-4.057112831982791,-0.36871575813381835,-4.118075845976831,-4.479982670110383,-3.857018908745607,-0.30091655059593725,-0.5694306042485077,-0.028256589908903416
70,-2.508494145534498,-0.10466160047537032,-2.4956237522781155,-2.7094030684627812,-2.2834339500447145,-0.11331547176996269,-0.3523765336059321,0.09216917381978687
71,-1.8958313828946944,0.3935390002389795,-1.6917078114410482,-1.9875939373373563,-1.3442372861813814,0.2962836525248817,-0.16704680260438368,0.7482312729406098
72,-3.700947099738107,-0.22070742595314857,-3.80530595499465,-3.982381736075326,-3.6442597253144244,-0.15102121755442283,-0.36210969317713854,0.04715806756597704
73,-2.391701088008553,0.5673417699712461,-2.31831050281971,-2.4545134346098005,-2.1953521338448767,0.4875881036592172,0.25787577570629067,0.7102783263161623
74,-4.54650066421519,0.3658997994283951,-4.567770347350195,-4.718698475448833,-4.405163946992585,0.5015744658890845,0.19808760633075514,0.7736357258509221
75,-3.4506248314900096,-0.0349984645064777,-3.354463432076763,-3.508100450235869,-3.2156757426072953,0.010480065086064767,-0.17896879677686503,0.1785736065116314
76,-2.9153889885035467,-0.45996191899807015,-2.975561464812786,-3.227731358557718,-2.716548194082316,-0.4784651314836259,-0.7384821222763287,-0.2282784138389368
77,-3.096146992322509,-0.2661505015901139,-3.1521798741857,-3.3491881225396885,-2.9755300169333463,-0.26792293565846637,-0.48496655540074374,-0.060020253500246326
78,-1.9113695445021066,-0.16131851202521463,-2.1255717979655686,-2.348109356526951,-1.902433766051502,-0.022615472957060883,-0.24264744269502303,0.1969083167242133
79,-2.892611372709105,0.02620794157331585,-2.707910657931762,-2.8879089315056583,-2.536514545381763,0.027862166100871572,-0.19864552796445795,0.22123457768604726
80,-2.6967570479725875,-0.432957777090517,-2.59563363447654,-2.8487646362997254,-2.322905552679045,-0.4049950351499802,-0.6489425433113893,-0.13644912006963034
81,-4.834951873959541,-0.05098681164523855,-4.83316026852198,-5.134404280978619,-4.562993649977624,-0.036849416702249824,-0.32733633195883594,0.2098209074589467
82,-4.033668314903637,0.42136256576696274,-3.944850756874775,-4.05316541278204,-3.8379888596742817,0.474236422101181,0.2783348925119157,0.6592234679531986
83,-2.7914156738179545,-0.18894188707905546,-2.7608466577161184,-2.9216444782937034,-2.5855932738060496,-0.13186215332737164,-0.3428077857377086,0.08047278688283081
84,-2.656472652775853,0.14704058920648844,-2.701405965435316,-2.828974502094112,-2.5677143542997847,0.235466000204893,0.06253576727835683,0.41217854810720034
85,-3.426671875467504,0.25746720424185743,-3.3954716381177437,-3.520985000912971,-3.275330642775617,0.15109254048761095,-0.008131017796686025,0.31672793892129597
86,-4.615141769337652,0.1595747725812633,-4.523561028750446,-4.702775614255367,-4.3309418098975865,0.19698953084500465,-0.05050824737876746,0.4617209656601148
87,-2.7465943026393624,-0.2051661872819726,-2.7626155507831207,-2.9282642094363385,-2.5832499330087066,-0.13671755347198186,-0.35126508246580695,0.06210578542521619
88,-2.2916223223529015,0.3632026130298841,-2.3180525057801433,-2.449498565841218,-2.1888294205292596,0.48918031268269047,0.26482740245261854,0.7247243259869385
89,-3.7824324862990517,-0.20016234458252802,-3.808300313154793,-3.9882840305709633,-3.640265343956445,-0.15169978677622828,-0.3709425732371137,0.04666515166873869
90,-1.886468921506217,0.6337736776994577,-1.8107288090846692,-1.9773792795542642,-1.622315989832782,0.6446760888668376,0.26980800724926884,1.0230101400197245
91,-3.9134343013844393,-0.16318147949560813,-3.8815420544505175,-4.0610590672386495,-3.684707073644674,-0.2481616466044848,-0.47130494637605347,-0.004183269158456076
92,-4.083893210999252,0.14122397299191025,-4.096901886966038,-4.251805973971323,-3.9655972796022105,0.12402011047461994,-0.05830499171133664,0.3220931589762517
93,-3.0540318034583587,0.4384548901073865,-3.0704815212713545,-3.181401363990839,-2.9573739557391496,0.4085869116386647,0.24641937965574853,0.5924467828538488
94,-2.5109945832563816,0.8853547315805318,-2.325109397481805,-2.419859860315422,-2.236194928459536,1.0384754175614839,0.8035493658532484,1.2770645624241004
95,-1.6198034459907626,-0.25276687658995467,-1.6031303128108274,-2.0398226009612324,-1.120247341561293,-0.4551163815563777,-0.7530849729095973,-0.16104471917671812
96,-2.0119736170835942,-0.6690506590594717,-2.2391167530298217,-2.614588594976807,-1.8464133939814558,-0.6467513282088628,-0.9563730575919837,-0.3635531246051016
97,-4.353100811777801,-0.6217739963832123,-4.403204629709926,-4.766530575607254,-4.024388885736523,-0.6270192436769776,-0.9414848878268971,-0.357642833114408
98,-4.053167254228933,-0.34524950524710885,-4.336560771902927,-4.647253198104781,-4.051435324223679,-0.3765893507935861,-0.6679567294514278,-0.1081423201136381
99,-2.864592736761427,0.39686706997926635,-3.027054503507814,-3.1358918218446754,-2.918098119781371,0.5452036642298544,0.35376182668795536,0.7334496063640411
100,-3.0331609208543533,0.8528207986355602,-2.948706302263302,-3.035167366151879,-2.862332241960727,0.9736408234758217,0.754666454432727,1.1842139297449223
101,-3.580325922211793,-0.5270469831597402,-3.5380730845561925,-3.83134482321222,-3.30357007137513,-0.6065740795307895,-0.9053332930786,-0.28371857315086796
102,-1.790521624576325,-0.2511976030914162,-2.1276834764386168,-2.340520698689616,-1.907325119557695,-0.020186279404873334,-0.2428753128057283,0.19727846082321013
103,-4.985064245998152,-0.27100356738692144,-4.848012182792888,-5.205598633304524,-4.548074880569145,-0.18911495749565227,-0.456042355146805,0.07983877451965564
104,-1.8855949403805585,-0.22849927552936172,-2.0741602554887,-2.320562585889777,-1.8316195760793978,-0.21136358443910497,-0.4398285481735035,0.023833800796059002
105,-1.5781781136769628,0.4357061470974565,-1.4579019195934926,-1.8122394911437758,-1.0251623207564728,0.3599033000019712,-0.11596597249261821,0.8174910132081122
106,-4.475324987688566,0.8704789929748332,-4.531295292963564,-4.63874496341171,-4.424333993415227,0.8059121235420661,0.5452107118612496,1.0720461950644913
107,-1.9830955337584788,0.7338397803244695,-2.0126811165770886,-2.119829550216627,-1.8995646513688786,0.8918739007775607,0.5735592578354783,1.2203816370452238
108,-2.154727684288965,-0.33064361115955904,-2.2126193586248393,-2.458977322072853,-1.930370365019965,-0.33112057196829775,-0.5822878844236618,-0.09601894714153437
109,-3.93438489292411,-0.517427648045602,-3.9385255453109043,-4.227483180186886,-3.6752924968788405,-0.7082535037551176,-0.9951746039344906,-0.42665138176030903
110,-3.020306312187604,0.5686935224987494,-2.9380251574920395,-3.061420172095872,-2.832009324071313,0.6584333732765979,0.45688320113969433,0.8465167809556721
111,-2.212808705950886,0.5243514742555181,-2.2225552559237696,-2.378729159102249,-2.0967785887042423,0.6078470349652648,0.3495331709857998,0.8764799470045067
112,-3.5222656019001803,0.9420040793997796,-3.474162397600296,-3.5659403322990437,-3.381033433630296,0.7800117710776555,0.5968110821178017,0.9587104858764848
113,-3.6373315242849973,0.9275930487598819,-3.6139411508527766,-3.7020317170549744,-3.5326540868657643,1.0465543138409283,0.8576171498199286,1.2423270247845144
114,-4.904183743078968,0.5962623230696343,-4.997864755288297,-5.287912170761103,-4.746744360271522,0.5834879323068738,0.14561491649578184,1.0019580725332558
115,-3.21482280301846,0.6881457721938437,-3.1500916516573616,-3.232121420716243,-3.0574264547649115,0.8270560146918742,0.6289596541561888,1.0345359495248116
116,-1.6759017603710662,0.27538065962440084,-1.398963071564445,-1.7870314426614402,-0.8640200507189016,0.08407784344620105,-0.4310910394632444,0.5512592144747838
117,-1.5979546858723142,-0.08250465452693412,-1.764388985299603,-2.0540811307208444,-1.423313458197751,-0.11433706510573209,-0.39437950502297564,0.12055636506602561
118,-3.5492493908148326,-0.6461836565979518,-3.8112635876253935,-4.180635383899639,-3.4048508982161407,-0.93713890188293,-1.5228659958780522,-0.5139077410329418
119,-1.9656985223061674,0.7274740350910526,-2.0117612833721252,-2.125522711882184,-1.905731012058354,0.8883859744397846,0.5556384752196817,1.217399260738391
120,-4.990667909650928,0.19135901086417018,-5.290684051090205,-5.788442670221531,-4.855613736544716,-0.04307483517654781,-0.40064369936159405,0.3279399464340046
121,-2.6016225874344587,-0.4504939418505649,-2.767862908156579,-2.9474578562331635,-2.5853714305130784,-0.31599492857405287,-0.5223962396025398,-0.1101041441956539
122,-3.462458251559582,-0.3955240620297972,-3.532294038116518,-3.722928405965281,-3.3166491518122885,-0.27475041785728943,-0.5403718645773035,-0.0577698939322776
123,-2.9678662010664896,0.5749233291457653,-2.9405530685126395,-3.0717547767108506,-2.8246606739304214,0.6594449862283309,0.4542443446304371,0.8563742323083279
124,-4.306921831680991,-0.48877228316382304,-4.3330986719290285,-4.6356915872152324,-4.057150833265222,-0.37567875779071924,-0.6443633360944316,-0.11845492171583162
125,-2.807064025999589,1.0046428698454584,-2.784857485122361,-2.8581296484788155,-2.702439412096062,1.1256182054999404,0.8981131244045495,1.3660688142474786
126,-4.702176948471015,0.512703404471249,-4.7636095020586104,-4.972621574756758,-4.572766287312765,0.373215592918876,0.07841200116619859,0.6515945706998681
127,-4.414337159690482,0.4510611178639524,-4.545405819502448,-4.6684694103039,-4.406958924137724,0.5857184300980468,0.3270944947616235,0.8534562250675384
128,-4.64698518153184,0.08031926758908059,-4.839287579137423,-5.15247465098905,-4.565871447434378,-0.04208402485246032,-0.3241532866594126,0.2217788333309841
129,-3.4631224287191893,0.21525607364515664,-3.4859095411057486,-3.616717243240592,-3.371520577106778,0.2728890607897596,0.11640370086488319,0.4444209805175923
130,-3.8552035421354094,-0.4449948872608786,-3.741032736317097,-3.955869881260213,-3.549417977967407,-0.25879053043979955,-0.4996897110485541,-0.054111634621221955
